Countries,Aexp,THI,TOE,GDP,HDI,LPI,FSB,FSE,FSM,FSPo,FSPi,RD,Cluster,NumExp
Israel,12.32046154,4.355786209,3.465735903,5.872672565,0.6398445,4.767289035,4.983606622,3.80666249,5.111987788,5.384495063,3.044522438,1.68929845,3,1
Italy,11.10733859,4.169761109,3.610917913,7.801296389,0.63471902,4.545950826,4.615120517,3.970291914,3.988984047,4.189654742,5.187385806,0.866461628,3,1
Jama,14.40366874,4.415076617,3.828641396,3.362699074,0.548121409,4.642369627,3.091042453,2.302585093,4.941642423,5.204006687,2.63905733,0,2,2
Jap,14.26947934,4.142702903,3.555348061,8.656693534,0.639914111,4.628593701,3.401197382,4.343805422,4.394449155,4.17438727,4.543294782,1.420891421,3,2
Jord,13.85297625,4.344903857,3.433987204,4.586608988,0.555359313,5.033179259,3.17805383,2.772588722,4.442651256,4.770684624,0,0.541009473,2,2
Kazak,12.79535197,4.081001708,3.63758616,6.289092,0.584356901,4.787741712,4.941642423,3.496507561,6.086774727,4.143134726,4.094344562,0.132597206,3,1
Kenya,16.65075292,4.427686249,3.555348061,5.258864226,0.441158454,4.812915795,3.931825633,1.945910149,5.068904202,1.098612289,1.609437912,0.579849695,1,4
Leba,9.808599697,4.262283601,3.526360525,4.524892451,0.561432423,4.329680154,4.477336814,2.708050201,4.634728988,4.276666119,2.48490665,0,2,1
Lib,12.91545876,4.422780727,3.526360525,2.011028859,0.355797859,4.95849954,1.386294361,2.079441542,1.791759469,3.433987204,3.496507561,0,1,1
Mada,15.82259442,4.371244352,3.583518938,3.849594257,0.413433278,4.829113417,3.63758616,1.386294361,3.761200116,2.833213344,3.135494216,0.014868908,1,3
Malaw,13.97735842,4.388484152,3.36729583,3.264499075,0.390917807,5.500155562,2.564949357,1.609437912,2.63905733,1.791759469,4.127134385,0,1,2
Malay,17.78291683,4.430850322,3.496507561,6.984287524,0.581293407,4.981275139,3.218875825,4.204692619,2.63905733,5.093750201,4.317488114,0.891054972,2,5
Mali,17.8110422,4.488056291,3.33220451,3.874964752,0.366443575,4.912066477,3.784189634,1.386294361,5.356586275,2.397895273,0.693147181,0.273540044,1,5
